"freq"	"ch 1"
354.0	-157.04
355.0	-158.26
356.0	-148.99
357.0	-145.09
358.0	-151.51
359.0	-168.62
360.0	-152.31
361.0	-145.8
362.0	-146.33
363.0	-156.6
364.0	-155.08
365.0	-153.82
366.0	-151.04
367.0	-157.54
368.0	-162.39
369.0	-159.02
370.0	-149.51
371.0	-148.85
372.0	-159.49
373.0	-151.17
374.0	-152.93
375.0	-152.04
376.0	-154.82
377.0	-156.48
378.0	-164.06
379.0	-155.24
380.0	-150.97
381.0	-155.0
382.0	-157.83
383.0	-154.54
384.0	-150.52
385.0	-153.27
386.0	-160.42
387.0	-184.28
388.0	-162.07
389.0	-167.08
390.0	-163.19
391.0	-157.59
392.0	-146.76
393.0	-147.99
394.0	-155.8
395.0	-153.14
396.0	-155.94
397.0	-183.51
398.0	-177.13
399.0	-159.67
400.0	-151.82
401.0	-148.19
402.0	-148.95
403.0	-153.07
404.0	-152.37
405.0	-155.32
406.0	-152.49
407.0	-150.94
408.0	-156.54
409.0	-150.52
410.0	-149.52
411.0	-156.31
412.0	-151.19
413.0	-151.42
414.0	-156.01
415.0	-166.74
416.0	-169.58
417.0	-161.78
418.0	-155.16
419.0	-156.91
420.0	-153.24
421.0	-156.99
422.0	-155.06
423.0	-158.28
424.0	-155.36
425.0	-153.62
426.0	-152.24
427.0	-153.77
428.0	-161.8
429.0	-151.28
430.0	-153.89
431.0	-161.68
432.0	-170.24
433.0	-155.58
434.0	-150.23
435.0	-159.85
436.0	-151.2
437.0	-152.61
438.0	-162.74
439.0	-158.75
440.0	-151.94
441.0	-148.55
442.0	-152.2
443.0	-151.16
444.0	-155.14
445.0	-149.15
446.0	-152.25
447.0	-154.2
448.0	-154.67
449.0	-149.2
450.0	-150.31
451.0	-155.91
452.0	-157.46
453.0	-145.64
454.0	-143.66
455.0	-146.43
456.0	-146.48
457.0	-143.92
458.0	-147.83
459.0	-147.87
460.0	-145.41
461.0	-145.49
462.0	-144.75
463.0	-151.31
464.0	-168.43
465.0	-151.53
466.0	-147.73
467.0	-151.24
468.0	-167.91
469.0	-165.91
470.0	-167.03
471.0	-151.63
472.0	-147.91
473.0	-152.91
474.0	-168.75
475.0	-151.25
476.0	-147.09
477.0	-149.18
478.0	-155.03
479.0	-153.55
480.0	-151.08
481.0	-154.04
482.0	-155.71
483.0	-150.2
484.0	-152.33
485.0	-155.43
486.0	-161.24
487.0	-151.97
488.0	-146.81
489.0	-145.38
490.0	-151.1
491.0	-155.9
492.0	-166.01
493.0	-156.51
494.0	-164.05
495.0	-152.58
496.0	-153.6
497.0	-149.78
498.0	-151.12
499.0	-150.18
500.0	-145.12
501.0	-146.43
502.0	-149.55
503.0	-150.89
504.0	-155.21
505.0	-160.13
506.0	-158.55
507.0	-154.65
508.0	-149.09
509.0	-150.99
510.0	-154.58
511.0	-155.02
512.0	-152.34
513.0	-154.36
514.0	-156.59
515.0	-146.57
516.0	-147.43
517.0	-155.54
518.0	-150.46
519.0	-149.13
520.0	-154.45
521.0	-159.51
522.0	-161.07
523.0	-157.56
524.0	-153.31
525.0	-153.61
526.0	-166.33
527.0	-154.26
528.0	-152.2
529.0	-152.25
530.0	-151.1
531.0	-151.15
532.0	-154.5
533.0	-154.98
534.0	-150.06
535.0	-149.32
536.0	-151.77
537.0	-157.49
538.0	-153.17
539.0	-149.7
540.0	-148.83
541.0	-151.54
542.0	-160.37
543.0	-151.52
544.0	-152.01
545.0	-156.92
546.0	-161.59
547.0	-157.52
548.0	-155.39
549.0	-158.31
550.0	-156.92
551.0	-150.99
552.0	-156.33
553.0	-156.68
554.0	-167.87
555.0	-156.41
556.0	-150.75
557.0	-147.93
558.0	-151.86
559.0	-154.17
560.0	-151.55
561.0	-151.09
562.0	-152.68
563.0	-152.02
564.0	-150.91
565.0	-165.27
566.0	-151.16
567.0	-149.52
568.0	-152.51
569.0	-153.74
570.0	-156.39
571.0	-164.23
572.0	-150.67
573.0	-148.77
574.0	-152.5
575.0	-161.63
576.0	-156.61
577.0	-150.13
578.0	-146.95
579.0	-149.52
580.0	-160.28
581.0	-165.4
582.0	-151.28
583.0	-154.14
584.0	-152.49
585.0	-153.44
586.0	-164.49
587.0	-156.39
588.0	-155.08
589.0	-149.98
590.0	-150.16
591.0	-152.09
592.0	-147.68
593.0	-148.5
594.0	-155.55
595.0	-154.31
596.0	-155.59
597.0	-161.39
598.0	-158.48
599.0	-156.32
600.0	-154.53
601.0	-162.53
602.0	-156.37
603.0	-149.92
604.0	-148.47
605.0	-147.37
606.0	-154.88
607.0	-159.88
608.0	-159.56
609.0	-149.01
610.0	-151.18
611.0	-150.4
612.0	-147.72
613.0	-152.83
614.0	-154.74
615.0	-157.76
616.0	-152.24
617.0	-151.13
618.0	-156.65
619.0	-155.29
620.0	-151.46
621.0	-152.32
622.0	-165.02
623.0	-165.59
624.0	-152.07
625.0	-149.96
626.0	-152.6
627.0	-153.54
628.0	-152.08
629.0	-150.59
630.0	-161.74
631.0	-150.19
632.0	-151.87
633.0	-152.74
634.0	-148.55
635.0	-153.04
636.0	-153.06
637.0	-152.27
638.0	-158.74
639.0	-160.19
640.0	-152.64
641.0	-148.78
642.0	-150.05
643.0	-149.34
644.0	-147.23
645.0	-150.57
646.0	-153.13
647.0	-159.05
648.0	-150.22
649.0	-156.33
650.0	-154.76
651.0	-150.9
652.0	-153.8
653.0	-151.81
654.0	-151.18
655.0	-153.89
656.0	-156.94
657.0	-152.56
658.0	-147.76
659.0	-148.22
660.0	-147.01
661.0	-149.8
662.0	-164.8
663.0	-153.73
664.0	-153.42
665.0	-153.93
666.0	-147.29
667.0	-149.74
668.0	-151.72
669.0	-149.43
670.0	-147.7
671.0	-149.25
672.0	-157.25
673.0	-152.31
674.0	-153.5
675.0	-153.2
676.0	-151.4
677.0	-153.9
678.0	-151.38
679.0	-161.49
680.0	-152.76
681.0	-157.86
682.0	-152.46
683.0	-151.73
684.0	-151.69
685.0	-155.11
686.0	-152.52
